,agri,ind,service
1960,1.0239587085349549,1.5877919062482424,2.228129732283423
1961,1.0239587085349549,1.5877919062482424,2.228129732283423
1962,1.0239587085349549,1.5877919062482424,2.228129732283423
1963,1.0239587085349549,1.5877919062482424,2.228129732283423
1964,1.0239587085349549,1.5877919062482424,2.228129732283423
1965,1.0239587085349549,1.5877919062482424,2.228129732283423
1966,1.0239587085349549,1.5877919062482424,2.228129732283423
1967,1.0239587085349549,1.5877919062482424,2.228129732283423
1968,1.0239587085349549,1.5877919062482424,2.228129732283423
1969,1.0239587085349549,1.5877919062482424,2.228129732283423
1970,1.0239587085349549,1.5877919062482424,2.228129732283423
1971,1.0239587085349549,1.5877919062482424,2.228129732283423
1972,1.0239587085349549,1.5877919062482424,2.228129732283423
1973,1.0239587085349549,1.5877919062482424,2.228129732283423
1974,1.0239587085349549,1.5877919062482424,2.228129732283423
1975,1.0239587085349549,1.5877919062482424,2.228129732283423
1976,1.0239587085349549,1.5877919062482424,2.228129732283423
1977,1.0239587085349549,1.5877919062482424,2.228129732283423
1978,1.0239587085349549,1.5877919062482424,2.228129732283423
1979,1.0239587085349549,1.5877919062482424,2.228129732283423
1980,1.0239587085349549,1.5877919062482424,2.228129732283423
1981,1.0239587085349549,1.5877919062482424,2.228129732283423
1982,1.0239587085349549,1.5877919062482424,2.228129732283423
1983,1.0239587085349549,1.5877919062482424,2.228129732283423
1984,1.0286428799687817,1.6330497899333343,2.285137426824902
1985,1.0329271788299788,1.6752412485882149,2.3356139388561283
1986,1.0364117325459161,1.7112998571826736,2.373028085866849
1987,1.0386966685439638,1.738159190686499,2.390848685346812
1988,1.0395426204404026,1.7537298178895624,2.3850310448309067
1989,1.039352246607153,1.759830282862063,2.3614764320345976
1990,1.038688711605047,1.759256123494282,2.3285726047184907
1991,1.0381151799949153,1.7548028776765014,2.294707320643194
1992,1.0381948163375894,1.7492660832990021,2.2682683375693133
1993,1.0394907851939008,1.7454412782520659,2.257643413257455
1994,1.042367446703265,1.7455499667524037,2.268806043481495
1995,1.0463939433194365,1.7495175183224445,2.2980726760683776
1996,1.0509406130747538,1.7566952688110473,2.339345496858316
1997,1.055377794001556,1.7664345540670714,2.3865266916915227
1998,1.0590758241321812,1.7780867099393756,2.4335184464082102
1999,1.0614050414989684,1.7910030722768182,2.474222946848592
2000,1.0619073436199167,1.804622569542982,2.5039715168273817
2001,1.0608108659556659,1.8187345006603446,2.5238120320572968
2002,1.0585153034525152,1.8332157571661054,2.5362215062255564
2003,1.055420351056765,1.8479432305974652,2.5436769530193786
2004,1.051925703714715,1.8627938124916248,2.548655386125982
2005,1.051925703714715,1.8627938124916248,2.548655386125982
2006,1.051925703714715,1.8627938124916248,2.548655386125982
2007,1.051925703714715,1.8627938124916248,2.548655386125982
2008,1.051925703714715,1.8627938124916248,2.548655386125982
2009,1.051925703714715,1.8627938124916248,2.548655386125982
2010,1.051925703714715,1.8627938124916248,2.548655386125982
